,Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Mouse position X,Mouse position Y
862,6014786,688956575175,,Participant0025,11.02.2021,Participant0025,Recording1,11.02.2021,11.02.2021,10:27:28.200,09:27:28.200,33386,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,Eye tracker Calibration end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclassified,17.0,90.0,,,,,,
863,6014786,688956575175,,Participant0025,11.02.2021,Participant0025,Recording1,11.02.2021,11.02.2021,10:27:28.200,09:27:28.200,33386,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,ImageStimulusStart,103111957_1133015250388940_5990313860353693579_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclassified,17.0,90.0,,,,,,
864,6018444,688956578833,Eye Tracker,Participant0025,11.02.2021,Participant0025,Recording1,11.02.2021,11.02.2021,10:27:28.200,09:27:28.200,33386,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2337615192.0,,,331.0,260.0,263.0,277.0,399.0,244.0,"-0,38090","0,04072","-0,92372","-0,41407","0,04622","-0,90907",,,Valid,Valid,"223,2","59,6","366,4","282,1","47,4","379,5","72,1","75,8","109,3","66,7","0,0785","0,2410","0,0330","0,2563","0,1240","0,2256",103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Unclassified,17.0,90.0,,,,,,
865,6026775,688956587164,Eye Tracker,Participant0025,11.02.2021,Participant0025,Recording1,11.02.2021,11.02.2021,10:27:28.200,09:27:28.200,33386,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2337623523.0,,,391.0,220.0,,,391.0,220.0,,,,"-0,41825","0,03063","-0,90781",,"3,09",Invalid,Valid,,,,"282,1","47,5","379,6",,,"107,2","60,3","0,1189","0,2040",,,"0,1189","0,2040",103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Unclassified,17.0,90.0,,,,,,
866,6035139,688956595528,Eye Tracker,Participant0025,11.02.2021,Participant0025,Recording1,11.02.2021,11.02.2021,10:27:28.200,09:27:28.200,33386,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2337631886.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,EyesNotFound,8.0,82.0,,,,,,
867,6043442,688956603831,Eye Tracker,Participant0025,11.02.2021,Participant0025,Recording1,11.02.2021,11.02.2021,10:27:28.200,09:27:28.200,33386,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2337640188.0,,,340.0,215.0,282.0,234.0,398.0,196.0,"-0,36969","0,01041","-0,92910","-0,41443","0,01450","-0,90997",,,Valid,Valid,"223,1","59,9","366,6","282,0","47,7","379,6","77,3","64,0","109,1","53,7","0,0847","0,1991","0,0457","0,2165","0,1237","0,1817",103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Unclassified,17.0,91.0,,,,,,
868,6051775,688956612164,Eye Tracker,Participant0025,11.02.2021,Participant0025,Recording1,11.02.2021,11.02.2021,10:27:28.200,09:27:28.200,33386,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2337648521.0,,,392.0,171.0,,,392.0,171.0,,,,"-0,41745","-0,00230","-0,90870",,"3,08",Invalid,Valid,,,,"281,9","47,7","379,7",,,"107,5","46,7","0,1196","0,1581",,,"0,1196","0,1581",103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Unclassified,17.0,91.0,,,,,,
869,6060109,688956620498,Eye Tracker,Participant0025,11.02.2021,Participant0025,Recording1,11.02.2021,11.02.2021,10:27:28.200,09:27:28.200,33386,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2337656854.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,EyesNotFound,8.0,83.0,,,,,,
870,6068471,688956628860,Eye Tracker,Participant0025,11.02.2021,Participant0025,Recording1,11.02.2021,11.02.2021,10:27:28.200,09:27:28.200,33386,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2337665215.0,,,340.0,212.0,289.0,253.0,391.0,172.0,"-0,36431","0,02343","-0,93098","-0,41754","-0,00162","-0,90866",,,Valid,Valid,"222,7","59,9","366,6","281,6","47,6","379,7","79,3","69,1","107,1","47,0","0,0847","0,1964","0,0507","0,2340","0,1187","0,1589",103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Unclassified,17.0,92.0,,,,,,
871,6076773,688956637162,Eye Tracker,Participant0025,11.02.2021,Participant0025,Recording1,11.02.2021,11.02.2021,10:27:28.200,09:27:28.200,33386,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2337673517.0,,,387.0,198.0,,,387.0,198.0,,,,"-0,41930","0,01560","-0,90772",,"3,16",Invalid,Valid,,,,"281,4","47,5","379,8",,,"105,9","54,1","0,1158","0,1829",,,"0,1158","0,1829",103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Unclassified,17.0,92.0,,,,,,
