,Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Mouse position X,Mouse position Y
684,5046785,3031819570,,Participånt0014,25.11.2020,Participant0014,Recording1,25.11.2020,25.11.2020,15:53:08.110,14:53:08.110,69140,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,Eye tracker Calibration end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EyesNotFound,17.0,66.0,,,,,,
685,5046785,3031819570,,Participånt0014,25.11.2020,Participant0014,Recording1,25.11.2020,25.11.2020,15:53:08.110,14:53:08.110,69140,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,ImageStimulusStart,thumbnail_grossTrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EyesNotFound,17.0,66.0,,,,,,
686,5049867,3031822652,Eye Tracker,Participånt0014,25.11.2020,Participant0014,Recording1,25.11.2020,25.11.2020,15:53:08.110,14:53:08.110,69140,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2937810050.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,17.0,66.0,,,,,,
687,5058166,3031830951,Eye Tracker,Participånt0014,25.11.2020,Participant0014,Recording1,25.11.2020,25.11.2020,15:53:08.110,14:53:08.110,69140,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2937818348.0,,,158.0,73.0,158.0,73.0,,,"-0,36574","-0,15562","-0,91762",,,,,,Valid,Invalid,"231,3","100,0","471,8",,,,"43,2","19,9",,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,8.0,80.0,,,,,,
688,5066498,3031839283,Eye Tracker,Participånt0014,25.11.2020,Participant0014,Recording1,25.11.2020,25.11.2020,15:53:08.110,14:53:08.110,69140,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2937826678.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,17.0,67.0,,,,,,
689,5074832,3031847617,Eye Tracker,Participånt0014,25.11.2020,Participant0014,Recording1,25.11.2020,25.11.2020,15:53:08.110,14:53:08.110,69140,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2937835011.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,17.0,67.0,,,,,,
690,5083166,3031855951,Eye Tracker,Participånt0014,25.11.2020,Participant0014,Recording1,25.11.2020,25.11.2020,15:53:08.110,14:53:08.110,69140,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2937843343.0,,,194.0,117.0,194.0,117.0,,,"-0,34984","-0,13325","-0,92728",,,,,,Valid,Invalid,"231,2","99,9","471,8",,,,"53,2","32,1",,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Unclassified,8.0,81.0,,,,,,
691,5091499,3031864284,Eye Tracker,Participånt0014,25.11.2020,Participant0014,Recording1,25.11.2020,25.11.2020,15:53:08.110,14:53:08.110,69140,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2937851675.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,17.0,68.0,,,,,,
692,5099832,3031872617,Eye Tracker,Participånt0014,25.11.2020,Participant0014,Recording1,25.11.2020,25.11.2020,15:53:08.110,14:53:08.110,69140,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",2937860006.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,17.0,68.0,,,,,,
693,5101385,3031874170,Mouse,Participånt0014,25.11.2020,Participant0014,Recording1,25.11.2020,25.11.2020,15:53:08.110,14:53:08.110,69140,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,17.0,68.0,,,,,-341.0,1023.0
