,Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Mouse position X,Mouse position Y
1082,8548725,1223112492693,,Participant0027,17.02.2021,Participant0027,Recording1,17.02.2021,17.02.2021,14:49:55.197,13:49:55.197,34968,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,Eye tracker Calibration end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,658.0,22.0,1665.0,811.0,"0,9723","0,7505",,
1083,8548725,1223112492693,,Participant0027,17.02.2021,Participant0027,Recording1,17.02.2021,17.02.2021,14:49:55.197,13:49:55.197,34968,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,ImageStimulusStart,103111957_1133015250388940_5990313860353693579_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,658.0,22.0,1665.0,811.0,"0,9723","0,7505",,
1084,8551365,1223112495333,Eye Tracker,Participant0027,17.02.2021,Participant0027,Recording1,17.02.2021,17.02.2021,14:49:55.197,13:49:55.197,34968,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",1596060389.0,,,1681.0,809.0,1648.0,834.0,1714.0,783.0,"0,24536","0,38588","-0,88932","0,19578","0,37958","-0,90421",,,Valid,Valid,"248,7","-91,1","735,9","312,8","-90,1","725,2","451,7","228,2","469,8","214,3","0,9831","0,7487","0,9609","0,7722",,,103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Fixation,658.0,22.0,1665.0,811.0,"0,9723","0,7505",,
1085,8559615,1223112503583,Eye Tracker,Participant0027,17.02.2021,Participant0027,Recording1,17.02.2021,17.02.2021,14:49:55.197,13:49:55.197,34968,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",1596068638.0,,,1692.0,809.0,1654.0,840.0,1729.0,778.0,"0,24722","0,38737","-0,88816","0,20107","0,37755","-0,90390",,,Valid,Valid,"248,6","-91,0","735,8","312,7","-90,0","725,0","453,4","229,9","474,0","212,8","0,9903","0,7489","0,9652","0,7778",,,103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Fixation,658.0,22.0,1665.0,811.0,"0,9723","0,7505",,
1086,8568011,1223112511979,Eye Tracker,Participant0027,17.02.2021,Participant0027,Recording1,17.02.2021,17.02.2021,14:49:55.197,13:49:55.197,34968,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",1596077034.0,,,1687.0,809.0,1644.0,841.0,1729.0,778.0,"0,24386","0,38784","-0,88888","0,20114","0,37750","-0,90390","4,16","4,21",Valid,Valid,"248,6","-91,0","735,8","312,7","-89,9","724,8","450,5","230,1","474,0","212,8","0,9867","0,7492","0,9579","0,7784",,,103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Fixation,658.0,22.0,1665.0,811.0,"0,9723","0,7505",,
1087,8576264,1223112520232,Eye Tracker,Participant0027,17.02.2021,Participant0027,Recording1,17.02.2021,17.02.2021,14:49:55.197,13:49:55.197,34968,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",1596085286.0,,,1688.0,817.0,1638.0,858.0,1739.0,776.0,"0,24160","0,39279","-0,88733","0,20433","0,37681","-0,90347",,,Valid,Valid,"248,6","-90,9","735,7","312,7","-89,7","724,6","448,9","234,8","476,5","212,5","0,9879","0,7566","0,9542","0,7943",,,103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Fixation,658.0,22.0,1665.0,811.0,"0,9723","0,7505",,
1088,8584620,1223112528588,Eye Tracker,Participant0027,17.02.2021,Participant0027,Recording1,17.02.2021,17.02.2021,14:49:55.197,13:49:55.197,34968,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",1596093642.0,,,1684.0,817.0,1644.0,853.0,1724.0,781.0,"0,24378","0,39119","-0,88744","0,19952","0,37854","-0,90383",,,Valid,Valid,"248,5","-90,9","735,7","312,6","-89,6","724,4","450,6","233,4","472,5","213,8","0,9851","0,7565","0,9584","0,7897",,,103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Fixation,658.0,22.0,1665.0,811.0,"0,9723","0,7505",,
1089,8592927,1223112536895,Eye Tracker,Participant0027,17.02.2021,Participant0027,Recording1,17.02.2021,17.02.2021,14:49:55.197,13:49:55.197,34968,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",1596101949.0,,,1691.0,809.0,1658.0,837.0,1724.0,781.0,"0,24851","0,38628","-0,88827","0,19958","0,37850","-0,90383","4,03","4,21",Valid,Valid,"248,5","-90,9","735,7","312,6","-89,5","724,2","454,4","229,1","472,5","213,8","0,9897","0,7491","0,9675","0,7750",,,103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Fixation,658.0,22.0,1665.0,811.0,"0,9723","0,7505",,
1090,8601260,1223112545228,Eye Tracker,Participant0027,17.02.2021,Participant0027,Recording1,17.02.2021,17.02.2021,14:49:55.197,13:49:55.197,34968,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",1596110282.0,,,1686.0,812.0,1662.0,837.0,1711.0,787.0,"0,24978","0,38608","-0,88801","0,19504","0,38049","-0,90398",,,Valid,Valid,"248,5","-90,8","735,6","312,6","-89,4","724,0","455,5","229,0","468,8","215,4","0,9865","0,7517","0,9701","0,7748",,,103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Fixation,658.0,22.0,1665.0,811.0,"0,9723","0,7505",,
1091,8609598,1223112553566,Eye Tracker,Participant0027,17.02.2021,Participant0027,Recording1,17.02.2021,17.02.2021,14:49:55.197,13:49:55.197,34968,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",1596118619.0,,,1677.0,806.0,1656.0,837.0,1699.0,774.0,"0,24806","0,38640","-0,88834","0,19160","0,37700","-0,90618",,,Valid,Valid,"248,5","-90,8","735,6","312,5","-89,3","723,9","453,9","229,2","465,6","211,9","0,9807","0,7461","0,9664","0,7754","0,9949","0,7168",103111957_1133015250388940_5990313860353693579_n,103111957_1133015250388940_5990313860353693579_n.jpg,1493.0,1080.0,214.0,0.0,2000.0,1447.0,Fixation,658.0,22.0,1665.0,811.0,"0,9723","0,7505",,
