,Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Mouse position X,Mouse position Y
16117,4334909,3968127455476,,Participant0048,23.08.2021,Participant0048,Recording3,23.08.2021,23.08.2021,11:57:29.437,09:57:29.437,62841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,Eye tracker Calibration end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,517.0,8.0,1121.0,491.0,"0,5968","0,4550",,
16118,4334909,3968127455476,,Participant0048,23.08.2021,Participant0048,Recording3,23.08.2021,23.08.2021,11:57:29.437,09:57:29.437,62841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,ImageStimulusStart,babelia 6164137243739591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,517.0,8.0,1121.0,491.0,"0,5968","0,4550",,
16119,4341739,3968127462306,Eye Tracker,Participant0048,23.08.2021,Participant0048,Recording3,23.08.2021,23.08.2021,11:57:29.437,09:57:29.437,62841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",858093494.0,,,1112.0,503.0,1039.0,491.0,1186.0,515.0,"0,01029","0,09035","-0,99586","-0,02986","0,10856","-0,99364",,,Valid,Valid,"278,7","80,9","590,5","342,8","76,0","593,2","284,8","134,4","325,0","140,9","0,5918","0,4657","0,5477","0,4549","0,6359","0,4766",babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Fixation,517.0,8.0,1121.0,491.0,"0,5968","0,4550",,
16120,4342817,3968127463384,Mouse,Participant0048,23.08.2021,Participant0048,Recording3,23.08.2021,23.08.2021,11:57:29.437,09:57:29.437,62841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Fixation,517.0,8.0,1121.0,491.0,"0,5968","0,4550",-441.0,980.0
16121,4350071,3968127470638,Eye Tracker,Participant0048,23.08.2021,Participant0048,Recording3,23.08.2021,23.08.2021,11:57:29.437,09:57:29.437,62841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",858101826.0,,,1112.0,492.0,1033.0,481.0,1191.0,503.0,"0,00762","0,08605","-0,99626","-0,02750","0,10326","-0,99427","2,77","2,81",Valid,Valid,"278,7","80,7","590,7","342,8","76,0","593,3","283,2","131,8","326,4","137,6","0,5916","0,4557","0,5442","0,4458","0,6390","0,4657",babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Fixation,517.0,8.0,1121.0,491.0,"0,5968","0,4550",,
16122,4358400,3968127478967,Eye Tracker,Participant0048,23.08.2021,Participant0048,Recording3,23.08.2021,23.08.2021,11:57:29.437,09:57:29.437,62841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",858110155.0,,,1107.0,488.0,1028.0,469.0,1186.0,507.0,"0,00524","0,08060","-0,99673","-0,02979","0,10500","-0,99403",,,Valid,Valid,"278,7","80,7","590,7","342,8","76,0","593,2","281,8","128,5","325,0","138,7","0,5885","0,4520","0,5411","0,4347","0,6360","0,4693",babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Fixation,517.0,8.0,1121.0,491.0,"0,5968","0,4550",,
16123,4358845,3968127479412,Mouse,Participant0048,23.08.2021,Participant0048,Recording3,23.08.2021,23.08.2021,11:57:29.437,09:57:29.437,62841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Fixation,517.0,8.0,1121.0,491.0,"0,5968","0,4550",-440.0,977.0
16124,4366738,3968127487305,Eye Tracker,Participant0048,23.08.2021,Participant0048,Recording3,23.08.2021,23.08.2021,11:57:29.437,09:57:29.437,62841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",858118492.0,,,1114.0,480.0,1043.0,457.0,1185.0,502.0,"0,01199","0,07495","-0,99712","-0,03028","0,10301","-0,99422",,,Valid,Valid,"278,7","80,7","590,9","342,8","76,0","593,3","285,8","125,1","324,7","137,5","0,5925","0,4442","0,5498","0,4232","0,6353","0,4651",babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Fixation,517.0,8.0,1121.0,491.0,"0,5968","0,4550",,
16125,4375035,3968127495602,Mouse,Participant0048,23.08.2021,Participant0048,Recording3,23.08.2021,23.08.2021,11:57:29.437,09:57:29.437,62841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Fixation,517.0,8.0,1121.0,491.0,"0,5968","0,4550",-439.0,973.0
16126,4375039,3968127495606,Eye Tracker,Participant0048,23.08.2021,Participant0048,Recording3,23.08.2021,23.08.2021,11:57:29.437,09:57:29.437,62841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",858126793.0,,,1113.0,489.0,1044.0,467.0,1181.0,512.0,"0,01261","0,07953","-0,99675","-0,03218","0,10729","-0,99371","2,79","2,90",Valid,Valid,"278,7","80,6","591,0","342,8","76,0","593,3","286,2","127,8","323,6","140,0","0,5918","0,4530","0,5508","0,4322","0,6328","0,4738",babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Fixation,517.0,8.0,1121.0,491.0,"0,5968","0,4550",,
