,Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Mouse position X,Mouse position Y
26398,4936879,3996380638,,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,Eye tracker Calibration end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EyesNotFound,742.0,66.0,,,,,,
26399,4936879,3996380638,,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,ImageStimulusStart,thumbnail_grossTrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EyesNotFound,742.0,66.0,,,,,,
26400,4937187,3996380946,Eye Tracker,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",3565952234.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,742.0,66.0,,,,,,
26401,4945493,3996389252,Eye Tracker,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",3565960540.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,742.0,66.0,,,,,,
26402,4952043,3996395802,Mouse,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,742.0,66.0,,,,,-383.0,1108.0
26403,4953824,3996397583,Eye Tracker,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",3565968871.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,742.0,66.0,,,,,,
26404,4962158,3996405917,Eye Tracker,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",3565977204.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,742.0,66.0,,,,,,
26405,4968094,3996411853,Mouse,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,742.0,66.0,,,,,-381.0,1105.0
26406,4970491,3996414250,Eye Tracker,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",3565985537.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,742.0,66.0,,,,,,
26407,4978850,3996422609,Eye Tracker,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",3565993896.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,742.0,66.0,,,,,,
26408,4984156,3996427915,Mouse,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,742.0,66.0,,,,,-380.0,1101.0
26409,4987183,3996430942,Eye Tracker,Participant0016,03.02.2021,Participant0016,Recording4,03.02.2021,03.02.2021,12:11:41.683,11:11:41.683,76841,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",3566002228.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,EyesNotFound,742.0,66.0,,,,,,
